n,mergeSort,quickSort
1,8.00E-07,4.90E-06
2,7.30E-06,5.80E-06
3,8.30E-06,7.10E-06
4,1.08E-05,7.50E-06
5,1.19E-05,1.11E-05
6,1.03E-05,9.10E-06
7,1.82E-05,1.46E-05
8,2.08E-05,1.74E-05
9,1.44E-05,1.23E-05
10,1.51E-05,1.24E-05
11,1.75E-05,1.44E-05
12,1.86E-05,1.48E-05
13,3.06E-05,2.36E-05
14,2.62E-05,1.97E-05
15,2.40E-05,1.94E-05
16,3.05E-05,4.26E-05
17,2.84E-05,2.19E-05
18,2.94E-05,2.28E-05
19,3.05E-05,2.42E-05
20,3.33E-05,2.50E-05
21,3.54E-05,2.73E-05
22,7.15E-05,4.59E-05
23,3.84E-05,3.00E-05
24,0.0001265,6.85E-05
25,0.0001274,7.19E-05
26,0.0001309,7.73E-05
27,0.0001339,8.08E-05
28,0.0001408,8.47E-05
29,0.0001462,0.0001082
30,0.0001474,9.79E-05
31,0.0001573,9.50E-05
32,0.0001661,0.0001005
33,0.0001611,0.0001054
34,0.0001673,0.0001112
35,0.0001265,7.89E-05
36,8.61E-05,4.69E-05
37,0.000135,8.22E-05
38,0.0001357,4.79E-05
39,0.0001422,9.21E-05
40,0.0001471,9.18E-05
41,0.0001506,8.67E-05
42,0.0001595,9.19E-05
43,0.0001625,9.85E-05
44,0.0001857,0.0001075
45,0.0001687,0.00011
46,8.21E-05,5.67E-05
47,0.0001663,0.0001028
48,0.0001746,0.0001067
49,0.0001743,0.0001112
50,8.35E-05,6.37E-05
51,8.54E-05,6.48E-05
52,8.70E-05,6.70E-05
53,8.79E-05,6.46E-05
54,9.64E-05,0.0001234
55,9.24E-05,7.47E-05
56,9.42E-05,7.07E-05
57,9.59E-05,7.06E-05
58,9.76E-05,7.83E-05
59,0.0001007,7.56E-05
60,0.0001011,7.74E-05
61,0.0001557,0.0001415
62,0.0001063,7.81E-05
63,0.0001159,8.36E-05
64,0.0001083,8.55E-05
65,0.0001171,0.0001154
66,0.0001135,8.44E-05
67,0.0001166,8.64E-05
68,0.0001183,8.77E-05
69,0.0001189,8.77E-05
70,0.0001204,9.36E-05
71,0.0001239,9.23E-05
72,0.0001262,0.0001012
73,0.0001267,9.33E-05
74,0.0001295,0.0001031
75,0.0001309,9.65E-05
76,0.0001339,9.95E-05
77,0.0001363,0.0001043
78,0.0003034,0.000189
79,0.0003043,0.0001961
80,0.0001413,0.0001608
81,0.0001446,0.0001125
82,0.0002365,0.0002021
83,0.000147,0.0001106
84,0.0001495,0.0001149
85,0.0001509,0.0001108
86,0.000153,0.0001147
87,0.0001551,0.0001771
88,0.0001572,0.0001158
89,0.0003297,0.000203
90,0.0001617,0.0001707
91,0.0001632,0.0001164
92,0.0003134,0.0002253
93,0.0001663,0.00017
94,0.0001699,0.0001294
95,0.0003425,0.0002261
96,0.0001732,0.0002537
97,0.0001748,0.0001388
98,0.0001765,0.000131
99,0.0001784,0.0001301
100,0.0001807,0.0001418
101,0.000266,0.0002412
102,0.0001846,0.0001379
103,0.0001863,0.0001412
104,0.0003265,0.0002871
105,0.0002022,0.0002836
106,0.0001931,0.0001452
107,0.0001945,0.0001444
108,0.0002436,0.0002633
109,0.0002002,0.0001528
110,0.0002001,0.000149
111,0.0003866,0.0002734
112,0.0002204,0.0001531
113,0.0002047,0.0001562
114,0.0002112,0.0001569
115,0.0003259,0.0002824
116,0.0002128,0.0002733
117,0.0002144,0.0001581
118,0.0002155,0.0001688
119,0.000367,0.0002922
120,0.0003129,0.0003056
121,0.0002232,0.0002784
122,0.0002244,0.0001636
123,0.0002265,0.000165
124,0.0005732,0.0003241
125,0.0002298,0.0001687
126,0.0003186,0.0003181
127,0.0002347,0.000313
128,0.0002361,0.0001816
129,0.0002396,0.0001701
130,0.0005387,0.0003514
131,0.0002439,0.0001854
132,0.0005535,0.0003287
133,0.0002495,0.0001806
134,0.0005597,0.0003586
135,0.0002514,0.0002046
