n,mergeSort,quickSort
1,1.20E-06,4.60E-06
2,5.00E-06,5.40E-06
3,7.00E-06,6.90E-06
4,9.60E-06,8.70E-06
5,1.21E-05,1.10E-05
6,1.48E-05,1.69E-05
7,1.07E-05,1.30E-05
8,2.43E-05,1.87E-05
9,2.36E-05,2.07E-05
10,3.17E-05,2.34E-05
11,3.52E-05,2.65E-05
12,3.32E-05,2.97E-05
13,5.42E-05,4.27E-05
14,5.00E-05,2.44E-05
15,2.35E-05,2.22E-05
16,2.48E-05,2.40E-05
17,2.69E-05,2.80E-05
18,2.86E-05,2.73E-05
19,2.97E-05,2.98E-05
20,3.15E-05,3.19E-05
21,3.29E-05,3.38E-05
22,3.45E-05,3.57E-05
23,3.64E-05,5.07E-05
24,3.81E-05,5.32E-05
25,8.97E-05,0.000118
26,5.08E-05,5.86E-05
27,4.33E-05,4.84E-05
28,4.52E-05,5.02E-05
29,4.72E-05,5.53E-05
30,4.88E-05,5.59E-05
31,5.03E-05,5.82E-05
32,5.92E-05,6.36E-05
33,5.30E-05,6.38E-05
34,5.48E-05,6.76E-05
35,5.62E-05,7.23E-05
36,0.0001232,0.0001526
37,6.75E-05,8.33E-05
38,0.0001435,0.0001686
39,0.0001322,0.0001752
40,0.0001407,0.0001894
41,0.0001383,0.0001918
42,0.0001592,0.0001065
43,0.0001452,0.0002084
44,0.0001258,0.0001026
45,0.0001528,0.0002208
46,0.0001571,0.0001087
47,0.000166,0.0002379
48,0.0001518,0.0002473
49,0.0001556,0.0002592
50,0.0001594,0.0002687
51,0.0001012,0.0001327
52,0.0001706,0.0002626
53,7.92E-05,0.0001419
54,8.14E-05,0.0001432
55,8.28E-05,0.0001431
56,8.34E-05,0.000147
57,0.000184,0.0003345
58,8.81E-05,0.0002115
59,8.91E-05,0.0001636
60,9.13E-05,0.0001682
61,9.26E-05,0.0001777
62,9.53E-05,0.0001902
63,9.58E-05,0.0001783
64,9.75E-05,0.0001858
65,0.0001009,0.0001949
66,0.0001019,0.0001981
67,0.0001053,0.0002004
68,0.000105,0.0002122
69,0.0001069,0.0002167
70,0.0001082,0.0002195
71,0.000111,0.0002209
72,0.0001146,0.0002312
73,0.0001135,0.0002316
74,0.0001149,0.000244
75,0.0001179,0.000251
76,0.0001192,0.0002497
77,0.0001201,0.0002607
78,0.0001227,0.0002694
79,0.0001246,0.0002674
80,0.0001309,0.0002763
81,0.0001277,0.0002869
82,0.0001334,0.0002925
83,0.0001313,0.0002993
84,0.0001319,0.0003073
85,0.0001365,0.0003093
86,0.000136,0.0003403
87,0.0001386,0.0003232
88,0.0001427,0.00033
89,0.0001407,0.0003398
90,0.000143,0.00035
91,0.0003157,0.000708
92,0.0001458,0.0003564
93,0.0001478,0.0003623
94,0.000163,0.00038
95,0.0001894,0.0003866
96,0.000152,0.0003878
97,0.0003393,0.0006789
98,0.0001564,0.0004066
99,0.0001574,0.0004084
100,0.0001622,0.0004215
101,0.000161,0.000443
102,0.0001626,0.0004501
103,0.0003778,0.0005416
104,0.0001665,0.0004668
105,0.0001674,0.0006975
106,0.0001705,0.0005528
107,0.0001718,0.0004895
108,0.0001738,0.0004826
109,0.0001752,0.0004992
110,0.0001772,0.000497
111,0.0001786,0.0005106
112,0.0001809,0.0005133
113,0.0002012,0.0005391
114,0.0001879,0.0005461
115,0.0001895,0.0005617
116,0.0001908,0.000564
117,0.0001923,0.0005799
118,0.0001944,0.0005832
119,0.0001959,0.0005953
120,0.000198,0.0006012
121,0.0001993,0.0006399
122,0.0004819,0.0008807
123,0.0002,0.0006484
124,0.0002019,0.0006448
125,0.0002044,0.0006585
126,0.0002084,0.0006514
127,0.0002125,0.0006692
128,0.0002214,0.0006177
129,0.0002566,0.0006366
130,0.0002452,0.0006411
131,0.0002221,0.0006543
132,0.0002625,0.0006551
133,0.0002549,0.00067
134,0.0002702,0.0006769
135,0.0002616,0.0006807
136,0.000261,0.0007
137,0.0002611,0.0007052
138,0.0002644,0.000718
139,0.0002644,0.0007871
140,0.0003028,0.0007667
141,0.00027,0.0007716
142,0.0002407,0.0007795
143,0.0002736,0.0007833
144,0.00051,0.0008087
145,0.0002479,0.0008093
146,0.0002753,0.00082
147,0.0002496,0.0008621
148,0.0002903,0.0008848
149,0.0002824,0.0008895
150,0.0002846,0.0008555
151,0.0002625,0.0008738
152,0.0002881,0.0008814
153,0.000261,0.0008864
154,0.0002634,0.0008998
155,0.0002923,0.0009045
156,0.0002688,0.0009395
157,0.0002679,0.0009305
158,0.0003101,0.0009947
159,0.0002702,0.0010796
160,0.0002688,0.0009775
161,0.0002689,0.0010098
162,0.0002714,0.0010298
163,0.0002742,0.0009916
164,0.0002751,0.0010496
165,0.0002811,0.0010172
166,0.0002784,0.0010331
167,0.0002806,0.0010758
168,0.0002818,0.0010454
169,0.000283,0.0011404
170,0.0002916,0.0011475
171,0.0002852,0.001087
172,0.0002887,0.0010901
173,0.0002901,0.0011343
174,0.0002908,0.0011106
175,0.0002962,0.0011376
176,0.0002956,0.0011662
177,0.0002954,0.0013084
178,0.0003389,0.0011655
179,0.0003283,0.0012178
180,0.000377,0.0011838
181,0.0004681,0.0012438
182,0.000332,0.0012741
183,0.0003135,0.001228
184,0.0006554,0.0012801
185,0.0005342,0.0012525
186,0.0004959,0.001261
187,0.0005371,0.0013233
188,0.0003252,0.0012837
189,0.0003516,0.0013377
190,0.0003566,0.001313
191,0.0003557,0.0014328
192,0.0003575,0.0013506
193,0.0003765,0.0013884
194,0.0003613,0.0014969
195,0.0004481,0.0015809
196,0.0003871,0.0015298
197,0.0003649,0.0014811
198,0.0003831,0.0016939
199,0.000359,0.0014931
200,0.0003787,0.0015704
201,0.0007702,0.0016308
202,0.0003818,0.0015786
203,0.0003739,0.0016984
204,0.0003758,0.0016108
205,0.0003775,0.0015721
206,0.0003877,0.001585
207,0.0003498,0.0016031
208,0.0003824,0.0019362
209,0.0003923,0.0016166
210,0.0003879,0.0017016
211,0.0003918,0.0016856
212,0.0007411,0.0018218
213,0.0004231,0.0016895
214,0.0003662,0.0017987
215,0.0003949,0.0017225
216,0.0004075,0.0017725
217,0.0003983,0.0018323
218,0.0004096,0.0017951
219,0.0004043,0.0017777
220,0.0004472,0.001863
221,0.0004058,0.0018824
222,0.0004293,0.0018838
223,0.0004084,0.001857
224,0.000379,0.0018691
225,0.0004149,0.0020715
226,0.0004145,0.0019512
227,0.000382,0.0020793
228,0.0004195,0.0019878
229,0.0004209,0.0020513
230,0.000424,0.0020123
231,0.0004152,0.0020852
232,0.0004265,0.0020347
233,0.0004287,0.0021556
234,0.0007863,0.0021212
235,0.0006939,0.0020915
236,0.0004301,0.0021718
237,0.0004278,0.0021317
238,0.0004341,0.0021806
239,0.0004302,0.0021558
240,0.0004489,0.0021624
241,0.0004361,0.0022737
242,0.0008656,0.0022599
243,0.0004421,0.0022458
244,0.0004162,0.0022004
245,0.0004403,0.0022818
246,0.0008774,0.0022926
247,0.0006333,0.0022807
248,0.0005203,0.0023318
249,0.0004692,0.0023562
250,0.0004547,0.002328
251,0.0004465,0.002338
252,0.0004596,0.0024704
253,0.0004607,0.0023698
254,0.0004646,0.0024459
255,0.0004686,0.0024944
256,0.0004443,0.0024242
257,0.0004741,0.0025023
258,0.0004716,0.0024962
259,0.0004743,0.0026088
260,0.0004919,0.0025267
261,0.0004777,0.0025815
262,0.000474,0.002615
263,0.0004919,0.0026017
264,0.0004846,0.0026042
265,0.000492,0.0026125
266,0.0004888,0.0026779
267,0.000489,0.0026257
268,0.0005038,0.0026651
269,0.000498,0.0026929
270,0.0004932,0.0027284
271,0.0004952,0.002652
272,0.0005323,0.0027407
273,0.0005042,0.0028073
274,0.0005101,0.0027359
275,0.0005009,0.0027649
276,0.0005118,0.0028484
277,0.0005103,0.0028173
278,0.0004753,0.0028732
279,0.0005447,0.0027974
280,0.0005117,0.0029291
281,0.0010327,0.0030157
282,0.0004835,0.0029278
283,0.0005348,0.002945
284,0.0005069,0.0031362
285,0.0005286,0.0030705
286,0.000521,0.003033
287,0.0005263,0.0030553
288,0.0005186,0.0031157
289,0.0008568,0.0032734
290,0.0005398,0.0031294
291,0.0005342,0.0031762
292,0.0005296,0.0031983
293,0.0005738,0.0031835
294,0.000551,0.0031886
295,0.0005476,0.0032814
296,0.0005509,0.0032221
297,0.0005387,0.003396
298,0.0005479,0.0032297
299,0.0005418,0.0032977
300,0.0005459,0.0033244
301,0.0005538,0.0033607
302,0.0005531,0.0033431
303,0.0005504,0.0032878
304,0.0005454,0.0033218
305,0.0005517,0.0035072
306,0.0005565,0.0034822
307,0.000565,0.0042927
308,0.0006425,0.003557
309,0.0005556,0.0034898
310,0.0005649,0.0035872
311,0.0005661,0.0035595
312,0.00057,0.0036474
313,0.0005611,0.0035384
314,0.0006367,0.0035364
315,0.0005742,0.0037773
316,0.0011036,0.0038288
317,0.000554,0.003706
318,0.000583,0.0037164
319,0.0006463,0.00375
320,0.000579,0.0040007
321,0.0005606,0.0037385
322,0.0005886,0.003758
323,0.0005844,0.003801
324,0.0005844,0.0038759
325,0.0005766,0.0040261
326,0.0005906,0.0039143
327,0.0005937,0.0038376
328,0.0005914,0.0039161
329,0.0006113,0.003924
330,0.000605,0.0040186
331,0.0006005,0.0041038
332,0.000664,0.0041792
333,0.0006367,0.0040041
334,0.0006119,0.0042756
335,0.0005965,0.0040179
336,0.0006115,0.0041145
337,0.0006186,0.004137
338,0.0006142,0.0043409
339,0.0006174,0.0043233
340,0.0006258,0.0042144
341,0.0006015,0.0042051
342,0.0006181,0.0044146
