n,mergeSort,quickSort
1,1.20E-06,4.00E-06
2,7.20E-06,7.80E-06
3,8.00E-06,8.60E-06
4,1.09E-05,1.17E-05
5,1.46E-05,1.40E-05
6,1.80E-05,2.00E-05
7,1.91E-05,1.59E-05
8,2.12E-05,1.78E-05
9,2.52E-05,2.05E-05
10,2.89E-05,2.31E-05
11,3.23E-05,2.62E-05
12,3.55E-05,2.96E-05
13,7.31E-05,2.96E-05
14,5.80E-05,5.05E-05
15,3.87E-05,2.43E-05
16,4.90E-05,4.47E-05
17,5.36E-05,4.81E-05
18,5.79E-05,5.22E-05
19,6.15E-05,5.66E-05
20,6.48E-05,6.06E-05
21,6.87E-05,6.58E-05
22,7.27E-05,7.10E-05
23,9.05E-05,7.32E-05
24,8.04E-05,9.26E-05
25,8.41E-05,9.71E-05
26,8.76E-05,0.0001012
27,9.15E-05,0.0001062
28,9.56E-05,0.0001023
29,9.89E-05,0.0001084
30,9.00E-05,5.70E-05
31,0.0001157,0.0001209
32,0.0001065,6.28E-05
33,0.0001178,0.0001336
34,0.0001211,0.0001396
35,0.0001256,0.0001466
36,0.0001293,0.0001543
37,0.0001338,0.0001614
38,0.0001386,0.000145
39,0.0001421,0.0001753
40,0.0001457,0.0001123
41,0.0001498,0.0001911
42,0.0001457,9.51E-05
43,0.0001586,0.0002073
44,0.0001155,0.0001026
45,7.84E-05,0.0001058
46,7.83E-05,0.0001097
47,7.23E-05,0.0001126
48,7.33E-05,0.0001165
49,0.0001761,0.0002583
50,7.71E-05,0.0001282
51,0.0001799,0.0002799
52,8.05E-05,0.000143
53,8.18E-05,0.0001371
54,8.37E-05,0.0001436
55,8.52E-05,0.0001457
56,8.66E-05,0.0001554
57,8.89E-05,0.0001546
58,9.03E-05,0.0001583
59,9.63E-05,0.0001666
60,9.38E-05,0.0001674
61,9.81E-05,0.0001812
62,9.61E-05,0.0001769
63,0.0001056,0.0001823
64,9.91E-05,0.0001865
65,0.0001358,0.0002003
66,0.000104,0.0001991
67,0.0001064,0.0002053
68,0.0001071,0.0002135
69,0.0001099,0.0002258
70,0.0001116,0.000225
71,0.0001132,0.0002318
72,0.0001152,0.0002356
73,0.0001172,0.0002435
74,0.0001216,0.000245
75,0.0001208,0.0002507
76,0.000123,0.0002573
77,0.0001247,0.0002756
78,0.0001284,0.000269
79,0.0001282,0.000276
80,0.0001294,0.0002845
81,0.0001315,0.0002985
82,0.0001366,0.0002961
83,0.0001348,0.0003068
84,0.0001362,0.0003317
85,0.0001581,0.0003303
86,0.0001408,0.0003342
87,0.0001422,0.0003343
88,0.0001428,0.0003395
89,0.000145,0.0003565
90,0.0001474,0.0004028
91,0.0001519,0.0003691
92,0.0003342,0.0007189
93,0.0001525,0.0003761
94,0.0001537,0.0003977
95,0.0001591,0.0003954
96,0.0001569,0.0004095
97,0.0001596,0.0004228
98,0.0001603,0.0004207
99,0.0001631,0.0004233
100,0.0001681,0.0004352
101,0.0001668,0.0004518
102,0.0001684,0.0004744
103,0.0001722,0.0004769
104,0.0001715,0.0004839
105,0.0001736,0.000487
106,0.0001754,0.0005034
107,0.0001774,0.0005177
108,0.000183,0.0005153
109,0.0002584,0.0005254
110,0.0001854,0.0005422
111,0.0001876,0.0005497
112,0.0001886,0.0005545
113,0.0001881,0.0005625
114,0.000189,0.0005651
115,0.0001901,0.0005689
116,0.0001926,0.0005761
117,0.0001943,0.0005817
118,0.0001948,0.0006142
119,0.0001974,0.0006035
120,0.0001989,0.0006149
121,0.0002032,0.0006308
122,0.0002083,0.0006547
123,0.0002091,0.0006685
124,0.0004776,0.0008729
125,0.0002085,0.000687
126,0.0002124,0.0006644
127,0.0002129,0.0006793
128,0.000214,0.00069
129,0.0002167,0.0007022
130,0.0002185,0.00071
131,0.0002201,0.0007477
132,0.0002273,0.0008147
133,0.0002254,0.000777
134,0.0002264,0.0007816
135,0.0002303,0.0007829
136,0.0003572,0.0012174
137,0.0002347,0.0007997
138,0.0002375,0.0008102
139,0.000236,0.0008432
140,0.0002381,0.0008642
141,0.0002447,0.0008707
142,0.0002443,0.000889
143,0.0002438,0.0008949
144,0.0002812,0.0008393
145,0.0002772,0.0008512
146,0.0002791,0.0008567
147,0.0002934,0.0010192
148,0.000258,0.0009205
149,0.0002878,0.0008919
150,0.0002834,0.0008931
151,0.0002654,0.0009055
152,0.0002904,0.0009118
153,0.0002692,0.0009004
154,0.0005761,0.0009163
155,0.0003103,0.0009321
156,0.0002712,0.0009603
157,0.0002985,0.0010438
158,0.000283,0.0010478
159,0.0003015,0.0010066
160,0.0003081,0.0010134
161,0.0002858,0.0010258
162,0.0003129,0.0010332
163,0.0002843,0.001043
164,0.0002884,0.0010969
165,0.0002884,0.0010554
166,0.0002926,0.001112
167,0.0005831,0.0015092
168,0.0006749,0.0011428
169,0.0002953,0.0011036
170,0.0002953,0.0011173
171,0.000327,0.0011216
172,0.0003279,0.001162
173,0.0003006,0.0011386
174,0.0003043,0.0013309
175,0.0005053,0.0015997
176,0.0003305,0.0012041
177,0.0004218,0.0012553
178,0.0003131,0.0012228
179,0.0003102,0.0012151
180,0.0003114,0.0012547
181,0.0003415,0.0012388
182,0.0003153,0.0013156
183,0.0006828,0.0015852
184,0.0003456,0.0013349
185,0.0003213,0.0014641
186,0.0003205,0.0013454
187,0.0003236,0.0013347
188,0.0003547,0.0013909
189,0.0003306,0.001462
190,0.0006781,0.0020017
191,0.0003304,0.0013868
192,0.0003308,0.0013959
193,0.0003341,0.0014711
194,0.0003357,0.001429
195,0.0003383,0.0014365
196,0.0003391,0.0014943
197,0.0005859,0.0016608
198,0.0007549,0.0016672
199,0.000347,0.0014902
200,0.0003477,0.0014901
201,0.0003765,0.0015233
202,0.0003504,0.0015384
203,0.0003521,0.0016292
204,0.0003545,0.0018952
205,0.0007763,0.0016282
206,0.0003597,0.0015835
207,0.0003638,0.0016715
208,0.0007565,0.0016417
209,0.0003616,0.0016873
210,0.0004007,0.002051
211,0.0004019,0.0017012
212,0.0003678,0.0017539
213,0.000401,0.0017176
214,0.0003715,0.0017577
215,0.000374,0.0017323
216,0.0003776,0.001763
217,0.0003773,0.0019821
218,0.0003813,0.0018024
219,0.0003799,0.0017959
